Product_Category,Store_Location,Holiday_Season,Discount_Percentage,Advertising_Spend,Customer_Rating,Weather,Number_of_Employees,Store_Area_sqft,Average_Transaction_Value,Number_of_Customers,Stock_Availability,Competitor_Proximity_km,Marketing_Channel,Operating_Hours_per_Week,Store_Age_Years,Price_Sensitivity,Loyalty_Customers_Percentage,Online_vs_Offline_Sales_Ratio,Average_Product_Age_days,Weekend_Sales_Percentage,Regional_Economy_Index,Store_Rent_Cost,Competitor_Discount_Percentage,Local_Events,Monthly_Inventory_Cost,Sales_Revenue
Furniture,Rural,1,8.605530141138884,13786.3837582063,3.5441893693565065,Rainy,31,2458,271.6776954702817,465,86.56105549366231,5.1308215255359295,Radio,40,1,0.8419721187072957,28.065951021122704,3.073859059203715,155,39.97634959737517,0.213137104306455,18169.09819730654,23.41534634195732,1,1042.0072437225865,149827.17043977292
Toys,Rural,1,46.27611039259404,18833.57222941561,2.607172540437698,Cloudy,44,4509,440.9367198208273,935,93.59925481224784,0.7234169464636344,Email,52,39,0.4638343429500522,53.7648971838901,4.396170594330339,60,47.52823799611919,0.8848728405463087,4919.622327244872,44.87499387006021,0,49015.99761773547,116907.744138299
Clothing,Suburban,0,3.4167052422802104,1412.3239769494862,3.311311886045743,Cloudy,36,3235,210.91165550345409,965,54.90289242812288,8.357938860262804,Radio,89,19,0.7610603839674761,86.4022609812741,0.9208834550566662,33,44.14327761396156,0.981038626681212,14265.684513738235,25.39250363587808,0,20921.81117013483,42876.16781129657
Grocery,Rural,0,21.518737484539663,6733.21507819522,2.2314965010974697,Snowy,30,4991,246.17750968910485,936,71.81507119165087,7.866605462732551,Email,54,45,0.5245855790735243,49.736490375741,1.1115059980522497,127,51.19790279856842,0.0200146931729328,11284.925593660702,34.41140210888455,0,26349.817087101444,120987.62157707884
Toys,Suburban,1,34.78987388277224,9044.445974993929,2.908800317671845,Snowy,31,3674,44.52573205680957,100,98.11514915871383,1.9350043596463105,Email,71,26,0.2227487702737038,41.48622561166064,4.75528083128728,221,56.5889372592013,0.5464668510006979,10967.831730254287,48.95146797125696,0,10545.399909858026,152300.67507457736
Grocery,Suburban,0,22.901110583412937,18035.576999031447,4.172252113482624,Snowy,23,901,146.2903838199663,130,91.70693302617926,6.379860636848056,Social Media,73,44,0.3376561688009395,48.659895523569965,5.349172127489291,200,47.24764038703394,0.3417023791091982,14499.465806158025,11.797589459726336,0,30935.0102983458,31988.975559070364
Clothing,Rural,1,4.604762661645117,19264.09820887856,4.924966389821849,Cloudy,46,1474,169.0082580927842,85,74.48520159289275,8.20132059537729,Email,82,12,0.4903504410556608,73.21726092415554,2.713868247399448,126,66.1250832391614,0.2769895753872092,4540.038701941574,8.426063804123906,0,40720.37344768859,164296.80846844404
Furniture,Suburban,1,27.668950806335367,9160.24730667848,4.729955694359207,Sunny,33,723,473.1099998849946,116,88.12855563957764,6.444455950514439,TV,70,22,0.3168855521722707,48.18221060265883,6.463548622940818,41,67.48813302737136,0.3357063908699355,3600.990049945318,17.10094124889351,1,29708.72494026668,113301.47490076767
Electronics,Rural,1,32.081595441367725,15125.554036772728,4.735463771384995,Sunny,43,735,148.50700666516792,690,91.6688812215832,3.172941143428864,Email,53,13,0.3355276913498983,72.66221450258956,7.063468787243364,275,45.22873579409561,0.6388777564262006,13212.295831292562,8.21995113601547,1,39613.71724430276,5833.664422912354
Furniture,Suburban,0,35.189615549525385,10867.38996340742,2.608894939388449,Cloudy,45,3998,235.82568028212947,931,67.40134815943597,6.595500389733854,Radio,93,28,0.3373928312487664,44.53579565127463,3.0612497029583814,297,21.397051846968687,0.1907160102297949,6166.294963640914,14.208140285243708,1,36824.290075190176,106356.80483590552
Toys,Rural,1,18.662990723137945,10986.76722745684,2.875159522027164,Cloudy,37,4711,338.93916754649706,716,94.60764584349803,2.183571302063801,Email,86,14,0.1228399788571041,30.16045369691063,7.608404784504664,85,61.25111370560981,0.9128607116579502,19492.02904932634,37.1492661685302,0,12645.232764829763,82155.94096668178
Electronics,Rural,0,28.18299855143811,5922.94054379395,3.822541585475926,Rainy,23,3734,89.46985247985992,806,73.52366598385784,3.2507244730662666,Radio,53,22,0.0846426072122513,36.11781838548965,2.1354886984874204,89,71.83653698805671,0.4661145249394758,9304.480861956132,23.87620179606436,0,22354.82921434855,62807.06970154757
Toys,Suburban,0,22.534323746945656,4730.646794345651,4.688767712205137,Snowy,41,725,248.3567696995185,672,76.3903681779415,2.4766895657610686,Radio,87,30,0.0464960396913043,16.225877170973277,5.488088635028181,42,61.04876169631598,0.3255768331493284,2676.1418901358225,18.752064724745093,0,8282.71733738402,155395.15788398567
Clothing,Urban,0,33.60280193761267,6116.104245518803,1.5679770374083386,Snowy,23,2777,371.88412934319473,729,99.98538189109156,5.613558513663045,TV,94,44,0.1109562610343367,49.79049155274211,8.062382826265516,120,57.04438126774525,0.765531331547599,13873.39574035487,18.43620026378965,0,3054.8578786799976,180402.47731347592
Electronics,Suburban,0,29.177848366240926,11348.396141513049,2.216967455308783,Cloudy,37,4777,434.7590543832624,530,92.16514830760806,1.1714438029789314,Email,68,20,0.343707092135618,21.84887399112184,5.416389948257298,279,28.352959298768504,0.0163466652361926,6470.10620308956,9.72649874500266,1,4090.3788079424153,153717.3524222965
Toys,Rural,1,26.287810977956745,1068.5261274307354,1.556987378376438,Cloudy,20,1841,316.8670445845891,517,68.088500288649,9.339772765448553,Email,86,44,0.5938718057830571,74.92376050677863,9.0888309133584,33,61.61096326554066,0.4318528657380368,3397.454838617343,22.370572714349763,0,47182.49656377164,170120.6534102203
Clothing,Urban,0,12.476218341912432,18191.354414949918,3.4480341198378213,Sunny,27,4536,337.8362225053045,191,50.517279823635,3.401772301262381,Billboard,58,27,0.1881469272094089,43.647245932551535,0.6791622054588946,276,36.78849716609696,0.3553036010012299,8745.05557635346,31.23177793440881,0,49242.33549758455,182212.2839261788
Furniture,Suburban,1,0.1009258874116958,3547.5323362206364,2.22520398755015,Cloudy,11,709,71.8789015664388,405,81.30870368969474,2.267804258347433,Billboard,66,38,0.888008846002638,71.20018591933786,5.924307070365571,153,83.5647090250628,0.3382099099897344,19302.33442270192,6.957741725911188,0,5653.897894442158,182962.71571841315
Clothing,Suburban,1,8.704083765571463,4791.729198992038,2.304431410050294,Sunny,30,4227,473.4304836507101,758,85.19567130640539,5.015843154658129,Social Media,48,42,0.8083824312394494,86.35683420309067,5.661378980189461,90,62.297607420798464,0.3370713620905832,8522.896239549034,48.64064307351073,0,17424.478323430387,27354.437884367704
Grocery,Suburban,0,5.853302071208432,10606.385440729104,1.283663837951917,Cloudy,36,4428,74.96129796739635,520,82.54013450716899,2.842278402701689,Radio,76,41,0.5205271128091636,77.95823597705888,6.637497952572578,104,32.25437413666421,0.0312713777472674,7273.008431755738,22.16405882133668,0,6606.613327645112,93995.17033299648
Clothing,Urban,1,22.454237250547337,14347.237943576947,2.399184247230368,Rainy,16,3303,389.5897392190812,670,98.39311755816064,5.395550455188179,TV,76,34,0.7242098308133599,86.11709437966557,8.350727702935046,12,47.83415274911441,0.1521164030088397,9167.92476035143,47.39804583756973,1,41877.21234507948,5055.862506617508
Clothing,Rural,1,30.612907538092237,2366.716567515748,4.449986029606341,Rainy,12,1609,139.75999767137623,937,93.14855136660722,3.550240582842646,Billboard,82,39,0.3663285246987584,55.43492214965842,7.285945534950111,160,77.72650207080355,0.1418851593124144,736.256259193143,6.732946331209261,0,25318.5574903738,103760.20401721617
Grocery,Suburban,0,10.654250434240408,6695.046602169662,1.93229124756334,Sunny,9,2526,467.4606404136133,640,72.44158465903243,1.4074614266135042,Email,67,41,0.0367777927330899,23.225954718443347,7.923799080191133,196,36.8371160946118,0.988610504819522,3095.4800026729745,38.36079765863401,0,31441.82604035192,185227.5671970392
Toys,Suburban,1,46.95285479835936,19389.154808699965,3.780749864840263,Snowy,46,893,362.780174291045,951,53.14287437361905,2.732362896069894,Social Media,91,44,0.9043328475325398,84.83167633469604,2.959285584604453,307,52.03524561219049,0.0221657558906117,17068.65505362485,30.88190252717725,1,27455.632421015307,43824.94662764381
Toys,Suburban,1,0.3341064611943889,5615.687852228441,3.5185133797543706,Rainy,32,1343,379.3687193594008,722,73.80293847509984,4.440554465119099,TV,96,37,0.127793488257822,79.48035124774167,3.93622404783275,262,64.3735978601218,0.1670736563519982,19571.671035843017,41.00320597716854,0,35802.42560819509,129758.39260948304
Clothing,Suburban,1,38.615050758267145,6604.477828731364,4.453938433476461,Sunny,9,2024,117.33899479934284,488,84.46220099810115,0.3999029421482937,Email,63,1,0.9479373463796514,79.15303928535428,6.30509204305768,91,70.36234710613934,0.9741745086586968,3579.858969271787,30.03389614776026,0,16637.479922535967,130653.91405148926
